onset	duration	trial_type	identifier	response
0.5000648	2.992331	crowd	vine-Juggling-a-chainsaw-and-two-balls-of-fire-M9wpwqEEWI1_3.mp4	1
4.250808	2.977634	dyad	flickr-0-9-4-9-7-9-0-1-3009497901_3.mp4	1
8.001548	2.982694	dyad	yt-CycYi5Z5guk_25.mp4	1
11.7524	2.975067	crowd	yt-2TgcUjTyD4s_263.mp4	1
15.50318	2.98309	dyad	yt-U87RJqCZT8w_16.mp4	1
19.25461	2.998081	dyad	yt-yNeLe_a2pck_651.mp4	0
23.00516	2.981044	dyad	yt-4JNdEFzM86k_274.mp4	0
26.75561	2.997863	dyad	-YwZOeyAQC8_15.mp4	0
30.50667	2.980267	dyad	yt-Hdv-QIhFago_254.mp4	0
34.25713	2.989259	dyad	IkTAuzVeD2Q_46.mp4	0
38.00748	2.980718	dyad	yt-orhTrit8STg_509.mp4	0
41.75796	2.98887	dyad	yt-nJH9cpyHtro_94.mp4	0
45.5082	2.980678	dyad	yt-HNPvM6RfXsY_12.mp4	0
49.25848	2.988873	dyad	yt-Jpw2EHf2-3s_508.mp4	0
53.00893	2.990009	crowd	yt-8N5UuN5WQcY_72.mp4	0
56.75925	2.988769	dyad	yt-9LkmwSItZlk_5.mp4	0
60.50957	3.002078	dyad	yt-4GeYyT0lwQ0_20.mp4	0
64.26	2.993447	dyad	yt-lzsldb9fo70_4.mp4	0
68.01025	2.981066	dyad	yt-p2Rry6IQhwE_57.mp4	0
71.76051	2.990432	dyad	yt-HYtGXOKUyCk_5.mp4	0
75.5109	2.998864	dyad	yt-l8je0Vm72u4_988.mp4	0
79.26131	2.990319	dyad	flickr-5-0-2-0-2-2-2-2-2450202222_18.mp4	0
83.01175	2.982153	dyad	yt-D0FQ_5wWv_s_5.mp4	0
86.76213	2.989855	dyad	vine-A-kid-bowing-a-wheel-JohnnyRandom-MgJUX6q5pV5_1.mp4	0
90.5124	2.998809	dyad	yt-NNVHWypc0No_309.mp4	0
94.26268	2.990671	dyad	yt-sNY_HeMbyQc_35.mp4	0
98.01312	2.981895	dyad	yt-k2tmlKg0MsU_33.mp4	0
101.7635	2.99012	dyad	yt-FSXBt3Sak1E_25.mp4	0
105.5139	2.981879	dyad	yt-cqmZWMjSuy0_205.mp4	0
