video_name,condition,onset_time,offset_time,duration,response,added_TRs,movie_path
yt-k6Ildfvd4wA_76.mp4,1,98.0234335,101.0190132,2.99557970000001,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-k6Ildfvd4wA_76.mp4
yt-DlUgLVITRn0_3.mp4,1,101.7740172,104.7611359,2.9871187,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-DlUgLVITRn0_3.mp4
yt-3feY7fLgX4M_737.mp4,1,105.5246605,108.519848,2.99518750000004,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-3feY7fLgX4M_737.mp4
yt-yIvortOp_D8_304.mp4,1,109.2751618,112.2613017,2.98613990000001,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-yIvortOp_D8_304.mp4
flickr-7-4-1-1-3-9-5-4-8274113954_15.mp4,1,113.0258138,116.0032702,2.97745639999994,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-7-4-1-1-3-9-5-4-8274113954_15.mp4
yt-2ULEIoRKW_Q_35.mp4,1,116.7764843,119.7628288,2.98634449999997,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-2ULEIoRKW_Q_35.mp4
yt-AXeXiTb9ntA_162.mp4,1,120.5270779,123.5210995,2.9940216,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-AXeXiTb9ntA_162.mp4
yt-84Tw9n59zw0_24.mp4,1,124.2775572,127.2627255,2.98516829999994,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-84Tw9n59zw0_24.mp4
yt-2Ks8gsK22PA_14.mp4,1,128.0282521,131.0214792,2.99322710000001,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-2Ks8gsK22PA_14.mp4
yt-q8mU6W5UqPk_27.mp4,1,131.7787757,134.7635809,2.98480519999998,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-q8mU6W5UqPk_27.mp4
yt-9LkmwSItZlk_5.mp4,1,135.5293721,138.5216576,2.99228549999998,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-9LkmwSItZlk_5.mp4
flickr-7-7-0-5-0-7-0-9-4177050709_33.mp4,1,139.2800147,142.2647843,2.98476959999994,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-7-7-0-5-0-7-0-9-4177050709_33.mp4
